MARKET PLACE,Customer Site ID,Customer Name,Product Code,Product Serial Number,Equipment Rental Payment/Month
GREATER PHILADELPHIA,9904,MOTIVA ENTERPRISES LLC 2000 WRANGLE HILL RD,A4,A7038420009,0
GREATER PHILADELPHIA,10051,CROWN CORK AND SEAL ATTN: SUE PFUELLER,D5,H4824900683,534
GREATER PHILADELPHIA,10051,CROWN CORK AND SEAL ATTN: SUE PFUELLER,D5,H4825000376,430
GREATER PHILADELPHIA,10079,AMERISOURCE BERGEN OFFICE MANAGER,D3,H5206700833,344
GREATER PHILADELPHIA,10106,GRUCCIO PEPPER GIOVINAZI,F1,UBZ64655,95
GREATER PHILADELPHIA,10125,DATA CORE SYSTEMS SCIENCE CENTER,A2,NGM24647,252
GREATER PHILADELPHIA,10156,NCO GRP,A5,NFD09315,689
GREATER CAPITAL,10326,CONSTAR PLASTICS INC DIV OF CROWN CORK & SEAL,D4,A7909470118,505
NORTH FLORIDA,10333,SOUTHERN RESOURCE,A4,CYR90032,181
NORTH FLORIDA,10347,TRADE WINDS SANDPIPER BEACH RESORT,D2,NPR09752,180
GREATER PHILADELPHIA,10442,EQUITY OFFICE 100 4 FALLS CC,F1,UYS24651,78
GREATER PHILADELPHIA,10490,TOWERS PERRIN MELLON BANK CENTER,F1,UYS67795,40
GREATER CAPITAL,10575,DATA SYSTEMS ANALYSTS INC SUITE 500,A2,A3727810862,215
NORTH FLORIDA,10639,HUGHES SUPPLY INC BR 61,D3,H5206501226,389
NORTH FLORIDA,10679,SURETY TEKNICIANS INC,D3,A7690821524,249
NORTH FLORIDA,10742,SCHERER CONSTRUCTION AND ENGINEERING INC,A2,NGM14686,0
NORTH FLORIDA,10742,SCHERER CONSTRUCTION AND ENGINEERING INC,D3,NQJ58553,452
NORTH FLORIDA,10748,HANNAH BARTOLETIA CONST,D4,A7909520098,409
GREATER PHILADELPHIA,10940,NCO FINANCIAL SYSTEMS INC,D3,H5216100944,320
PACIFIC NORTHWEST,10943,SOUTHEAST PORTLAND ANIMAL HOSPITAL,D3,MPH19596,0
NORTH FLORIDA,11015,AG COMMUNICATIONS SYS,D4,NLE10120,700
NORTH FLORIDA,11097,CAREMED RESPIRATORY SVCS #340,D3,NNY14730,250
GREATER PHILADELPHIA,11154,EASTERN UNIVERSITY,D1,NSC01745,185
GREATER PHILADELPHIA,11154,EASTERN UNIVERSITY,D1,NSC01870,185
GREATER PHILADELPHIA,11154,EASTERN UNIVERSITY,D1,NSC01849,180
GREATER PHILADELPHIA,11154,EASTERN UNIVERSITY,A1,A7417921371,12
GREATER PHILADELPHIA,11154,EASTERN UNIVERSITY,D1,A7228010061,17
GREATER PHILADELPHIA,11191,UNISYS CORPORATION,A1,NUN05200,0
GREATER PHILADELPHIA,11240,NCO GROUP,C2,NND00012,447
GREATER PHILADELPHIA,11240,NCO GROUP,D4,A7709830700,382
GREATER PHILADELPHIA,11240,NCO GROUP,D4,H5306900585,382
GREATER PHILADELPHIA,11304,CROSS COUNTRY BANK,F1,UFW49757,35
GREATER PHILADELPHIA,11557,WYETH/BAXTER,D2,MPG31017,212
GREATER PHILADELPHIA,11557,WYETH/BAXTER,D3,MPH07233,318
GREATER PHILADELPHIA,11557,WYETH/BAXTER,D3,MPH07234,318
GREATER PHILADELPHIA,11557,WYETH/BAXTER,D5,MPB07110,797
GREATER PHILADELPHIA,11557,WYETH/BAXTER,F1,UYS58970,146
GREATER PHILADELPHIA,11557,WYETH/BAXTER,F1,UYS75430,49
GREATER PHILADELPHIA,11557,WYETH/BAXTER,F1,UYP69678,66
GREATER PHILADELPHIA,11557,WYETH/BAXTER,D4,166018756,"1,031"
GREATER PHILADELPHIA,11557,WYETH/BAXTER,D1,H6626503279,198
NORTH FLORIDA,11573,BAY AREA CARDIOLOGY,D3,NQG11837,452
NORTH FLORIDA,11573,BAY AREA CARDIOLOGY,F1,UYH16014,65
NORTH FLORIDA,11631,JAMES SLATER PA,D4,A7709900182,267
GREATER PHILADELPHIA,11696,MAILBOXES ETC MSJ GROUP,D4,NLE00883,390
NORTH FLORIDA,11785,TMT INC AIR AMBULANCE STE 330,A2,NNS01361,160
GREATER PHILADELPHIA,11881,MOORE COLLEGE OF ART,A1,A7409810958,29
GREATER PHILADELPHIA,11906,SECOND SHILOH BAPTIST CHURCH,A1,66507817,71
PACIFIC NORTHWEST,12110,ALLEGRO CORP,D3,NQG00523,350
PACIFIC NORTHWEST,12110,ALLEGRO CORP,D4,NNT02939,728
GREATER PHILADELPHIA,12147,SHERATON SOCIETY HILL,F1,10013010,359
GREATER PHILADELPHIA,12147,SHERATON SOCIETY HILL,D4,NLE11061,"1,191"
GREATER PHILADELPHIA,12147,SHERATON SOCIETY HILL,D4,NLE12758,"1,191"
GREATER PHILADELPHIA,12147,SHERATON SOCIETY HILL,F1,UYQ03605,136
GREATER PHILADELPHIA,12147,SHERATON SOCIETY HILL,F1,UYQ03757,136
GREATER PHILADELPHIA,12355,MANAGEMENT RECRUITERS,D4,NNT26185,387
NORTH FLORIDA,12357,INFRA METALS,F1,UYP20446,113
NORTH FLORIDA,12547,GLOBAL MARKETING RESOURCE,D2,MPG15747,378
NORTH FLORIDA,12551,TRADEWINDS MORTG DOCUMENT PREPARATION CO,F1,A2819301190,113
GREATER PHILADELPHIA,12578,COOPER LEVENSON LAW OFFICE,D3,NQG14348,281
GREATER PHILADELPHIA,12583,MARSHALL & STEVENS INC,F1,10012111,81
NORTH FLORIDA,12615,TAMPA AIDS NETWORK INC,D4,A7909450581,0
NORTH FLORIDA,12628,RUE EDUCATIONAL PUBLISHING,D3,NNY05125,263
GREATER PHILADELPHIA,12923,FRANKE INC KITCHEN SYSTEMS DIVISION,A2,NGM25863,460
NORTH FLORIDA,13042,KALTECH ENTERPRISES,A2,NKU15509,148
PACIFIC NORTHWEST,13160,"TLR - TOTAL LOGISTICS RESOURCES, INC",D4,NLE10442,554
NORTH FLORIDA,13695,TELE MEDIA MGT CO,D2,H2400801259,175
GREATER PHILADELPHIA,13704,SUPERIOR COURT OF NJ 1ST FLOOR FAMILY DIV,D3,H7026601819,250
NORTH FLORIDA,13871,COLDWELL BANKER,D3,NQJ58577,276
NORTH FLORIDA,13871,COLDWELL BANKER,F1,UYR54332,63
PACIFIC NORTHWEST,13942,MCMENAMINS EDGEFIELD GARDEN INC,F1,UYS72497,86
PACIFIC NORTHWEST,13964,"GRESHAM,CITY OF CITY MANAGERS OFFICE",A1,NVF48679,19
GREATER PHILADELPHIA,14509,ST MARY MED CTR,A1,NDF20739,88
GREATER PHILADELPHIA,14509,ST MARY MED CTR,A1,NVF29356,65
GREATER PHILADELPHIA,14509,ST MARY MED CTR,A3,VQG00338,164
GREATER PHILADELPHIA,14509,ST MARY MED CTR,A3,VQG00331,255
GREATER PHILADELPHIA,14509,ST MARY MED CTR,A3,VQG00841,164
GREATER PHILADELPHIA,14509,ST MARY MED CTR,A3,VQG00330,164
GREATER PHILADELPHIA,14509,ST MARY MED CTR,D2,MPG21717,163
GREATER PHILADELPHIA,14509,ST MARY MED CTR,D3,NQG12417,363
NORTH FLORIDA,14615,ECHEZABAL & ASSOCIATES,D3,MPH25039,364
NORTH FLORIDA,14774,ROBERT A CANNELLA ATTY & COUNSELLOR AT LAW,A3,NGL05388,95
GREATER PHILADELPHIA,14868,"READING ALLOYS, INC OLD WEST PENN AVE",D4,A7708900360,244
GREATER PHILADELPHIA,15030,FLEETWOOD INDUSTRIES,A1,A3606912002,0
GREATER PHILADELPHIA,15040,"DECHERT, PRICE & RHOADS",D1,A7228010980,106
NORTH FLORIDA,15234,DRS DOLGIN DONNELLY DAVIS AND ASSOC PA,D2,H2400701743,185
NORTH FLORIDA,15297,MATUSEK MCKNIGHT POLUSE & CANGRO PA,D4,H4705500138,357
GREATER PHILADELPHIA,15517,CUSTOM AUDIO/VIDEO P O BOX 1686,D2,H2400601132,191
GREATER PHILADELPHIA,15698,UPS SUPPLY CHAIN SOLUTION,A1,NVH13931,60
NORTH FLORIDA,15878,W WINDOR WOODS,D4,NRV00586,448
NORTH FLORIDA,15987,ADVA LITE INC,D3,A7699850485,227
NORTH FLORIDA,16027,RYLAND HOMES,D4,A7909440733,756
GREATER PHILADELPHIA,16030,WORLD TEAM,A4,NDK36001,43
GREATER PHILADELPHIA,16030,WORLD TEAM,D4,NNT10412,"1,118"
PACIFIC NORTHWEST,16121,"UROLOGIC CONSULTANTS, PC",A3,NGL23735,124
NORTH FLORIDA,16331,STERLING PALMS LTD,D2,NPR34321,206
NORTH FLORIDA,16551,GULF COAST JEWISH FAMILY SERVICES INC,A1,NUP08829,23
NORTH FLORIDA,16551,GULF COAST JEWISH FAMILY SERVICES INC,A4,NJE23104,235
NORTH FLORIDA,16551,GULF COAST JEWISH FAMILY SERVICES INC,A4,NJE10981,218
NORTH FLORIDA,16577,CPC BAKING,A2,NGM26065,150
NORTH FLORIDA,16609,FLOWSERVE CORP,F1,UYP21698,105
GREATER PHILADELPHIA,16625,SUPERIOR COURT OF NJ HALL OF JUSTICE,D2,J0121802706,107
GREATER PHILADELPHIA,16625,SUPERIOR COURT OF NJ HALL OF JUSTICE,D3,H7026602098,216
GREATER PHILADELPHIA,16625,SUPERIOR COURT OF NJ HALL OF JUSTICE,D3,H7026602029,109
PACIFIC NORTHWEST,16777,TIGARD HIGH SCHOOL PO BOX 23059,A2,NGM35510,51
PACIFIC NORTHWEST,16777,TIGARD HIGH SCHOOL PO BOX 23059,A2,NNS00374,130
NORTH FLORIDA,16881,DIAMONDS,A1,NVH21459,177
NORTH FLORIDA,16881,DIAMONDS,A1,NVF19823,114
NORTH FLORIDA,16881,DIAMONDS,A2,NKU00200,79
GREATER PHILADELPHIA,17171,WEISS BROTHERS PAPER CO,F1,UFW50924,70
GREATER PHILADELPHIA,17412,ST MARYS CHURCH OF EAST VINELAND RECTORY,D3,A7690810541,147
GREATER PHILADELPHIA,17914,CITATION GRAPHICS,D3,NNY13485,278
GREATER PHILADELPHIA,17914,CITATION GRAPHICS,F1,UYS16917,61
NORTH FLORIDA,17945,CRUM,D4,H7116702199,457
GREATER PHILADELPHIA,18047,TRUMP CASINO SERVICES LLC,D3,H5206700973,429
GREATER PHILADELPHIA,18053,AMBASSADOR STE 308,D3,H5206901102,223
NORTH FLORIDA,18086,GULF COAST JEWISH FAMILY & MENTAL HEALTH SVCS,A3,NGL17215M,181
NORTH FLORIDA,18086,GULF COAST JEWISH FAMILY & MENTAL HEALTH SVCS,A4,NGQ08066,152
NORTH FLORIDA,18086,GULF COAST JEWISH FAMILY & MENTAL HEALTH SVCS,A4,NJF04072,152
GREATER PHILADELPHIA,18337,MCA SYSTEMS WELDIN BUILDING SUITE 107,D1,A7228010173,164
PACIFIC NORTHWEST,18533,MULTNOMAH COUNTY GRESHAM REGIONAL LIBRARY,M1,20206003410,141
GREATER PHILADELPHIA,18549,GREENWOOD TRUST,F1,ULR60608,561
GREATER PHILADELPHIA,18799,CHESTNUT HILL OBGYN ASSOC SUITE 232,D3,NNY07125,215
NORTH FLORIDA,18934,MUNGER & ASSOC MARY E,A1,NVH16672,69
NORTH FLORIDA,19146,S & R ENTERPRISES,A2,NGV17983,0
GREATER PHILADELPHIA,19236,JUDITH SCHWARTZ LAW OFC,D3,A7690821442,389
GREATER PHILADELPHIA,19292,CENTURY 21 CGW REALTY,D1,A7228020122,94
GREATER PHILADELPHIA,19292,CENTURY 21 CGW REALTY,D3,A7698880343,254
NORTH FLORIDA,19495,FRESENIUS MEDICAL CARE STE 2,A2,NGM34049,102
NORTH FLORIDA,19495,FRESENIUS MEDICAL CARE STE 2,A2,NCH03306,0
PACIFIC NORTHWEST,19538,CONCORDIA COLLEGE ELS LANGUAGE CENTER,A1,CPB00401,0
NORTH FLORIDA,19695,PONYTAILS,A1,NVF58726,120
SOUTH FLORIDA,19821,CHILD CARE ASSOCIATION OF BREVARD STE 4,D3,NQG08830,345
SOUTH FLORIDA,19821,CHILD CARE ASSOCIATION OF BREVARD STE 4,D3,NQJ29773,298
SOUTH FLORIDA,19925,JOHN JACKSON HOMES,D2,NPP01312,291
GREATER PHILADELPHIA,20007,A J ROCK MD,D2,NPR04859,134
SOUTH FLORIDA,20138,COMFORTS OF HOME CARE,A1,NVH20043,70
GREATER PHILADELPHIA,20233,FIRST AFRICAN BAPTIST,A2,37018332,225
GREATER PHILADELPHIA,20233,FIRST AFRICAN BAPTIST,M1,80506537,324
SOUTH FLORIDA,20434,WATER RESOURCES,D2,NPR09646,163
GREATER PHILADELPHIA,20500,BOROUGH OF CHESILHURST,F1,ZKM08515,123
GREATER PHILADELPHIA,20500,BOROUGH OF CHESILHURST,F1,ZKM12238,123
GREATER PHILADELPHIA,20504,WILLS EYE SURGICAL NETWORK,F1,UYS38867,58
GREATER PHILADELPHIA,20569,AUTOMATIC DATA PROCESSING,D3,A7698910308,281
SOUTH FLORIDA,20725,PERDUE CHIROPRACTIC CTR,D2,NPR07738,110
PACIFIC NORTHWEST,20782,CAR TOYS,D1,H6717204081,186
